t,pitch_hz,pitch_midi
144.27,371.78695803439894,66
144.28,373.0828227727314,66
144.29,379.4308322146519,66
144.3,390.98767559061713,67
144.31,399.1941639616724,67
144.32,407.39225398665326,68
144.33,426.6350367810942,68
144.34,436.37926773816037,69
144.35,439.23655225855475,69
144.36,438.9822854046182,69
144.37,437.64980598995135,69
144.38,435.66300789713097,69
144.39,432.48255346997814,69
144.4,425.53547010773116,68
144.41,403.1950396693516,67
144.42,394.4209872404952,67
144.43,391.04827706372646,67
144.44,390.271468912606,67
144.45,390.45507216727026,67
144.46,391.053746574956,67
144.47,392.3901898107694,67
144.48,394.04363189336715,67
144.49,395.00844074530005,67
144.5,394.24652840281516,67
144.51,368.2305220273644,66
144.52,367.25174130317373,66
144.53,369.3105165062387,66
144.54,369.24224879009324,66
144.55,369.39746437112655,66
144.56,370.0864811425987,66
144.57,371.68122959933856,66
144.58,373.77097134471717,66
144.59,374.68055766200087,66
144.6,372.9863857644761,66
144.61,370.55541873972214,66
144.62,374.84932183135777,66
144.63,383.2051445763864,67
144.64,388.2229851601378,67
144.65,390.765566482791,67
144.66,393.4199940606944,67
144.67,394.5787510213893,67
144.68,393.8951415981946,67
144.69,391.8713647975806,67
144.7,389.18827040776006,67
144.71,387.5567844705137,67
144.72,385.4861003737688,67
144.73,380.6187729604581,66
144.74,377.2264701152199,66
144.75,377.8368928644788,66
144.76,382.4418742877548,67
144.77,387.7367886039719,67
144.78,390.69566109936915,67
144.79,391.4823182899939,67
144.8,391.03750363910024,67
144.81,390.3258287818029,67
144.82,389.6483707406454,67
144.83,389.4815117312085,67
144.84,390.00733690389103,67
144.85,390.53075913657415,67
144.86,391.89528630337605,67
144.87,393.59874506982334,67
144.88,394.59145866477996,67
144.89,394.8018743552758,67
144.9,394.1976594895564,67
144.91,392.8676284572867,67
144.92,391.2381682232262,67
144.93,390.49994120484774,67
144.94,389.4762427462761,67
144.95,388.0699810410719,67
144.96,388.3235039312348,67
144.97,389.71594816733426,67
144.98,391.19489839254146,67
144.99,390.7960122069622,67
145.0,390.42768846204604,67
145.01,390.1569132053798,67
145.02,388.97597306485096,67
145.03,388.23475674827824,67
145.04,389.83865903146494,67
145.05,391.3013518572925,67
145.06,390.9245460014061,67
145.07,390.0650972884413,67
145.08,390.0523169806472,67
145.09,390.82331490853204,67
145.1,391.62631147953783,67
145.11,391.8839077387657,67
145.12,391.7000525679362,67
145.13,391.5937357695985,67
145.14,391.55778613675585,67
145.15,390.662668171292,67
145.16,387.6373616312566,67
145.17,383.94617335778435,67
145.18,382.8651960516226,67
145.19,383.11808246987886,67
145.2,0.0,0
145.21,0.0,0
145.22,0.0,0
145.23,0.0,0
145.24,0.0,0
145.25,0.0,0
145.26,380.33610469288595,66
145.27,380.5480523751094,66
145.28,384.90003896817495,67
145.29,389.71426840843895,67
145.3,390.68188570992453,67
145.31,391.095457776713,67
145.32,391.9730877622784,67
145.33,392.5228227745634,67
145.34,392.666788269828,67
145.35,392.38370862992195,67
145.36,391.34359628764076,67
145.37,390.4085847145529,67
145.38,389.8931617356277,67
145.39,388.8547415214704,67
145.4,384.6839204190352,67
145.41,373.8379635772338,66
145.42,364.7806447067078,66
145.43,354.8900020977891,65
145.44,316.309192103869,63
145.45,316.30230931063954,63
145.46,327.55279808368766,64
145.47,344.2588518151558,65
145.48,351.26145623099114,65
145.49,357.01857561727394,65
145.5,369.0329502888796,66
145.51,372.49543851697797,66
145.52,374.79419474938703,66
145.53,377.9803035867432,66
145.54,381.3877390361705,67
145.55,384.3490014643542,67
145.56,386.55487396809696,67
145.57,387.0787941978904,67
145.58,387.386781567479,67
145.59,388.0636908140651,67
145.6,389.33366944430185,67
145.61,389.72384304729553,67
145.62,381.885634824499,67
145.63,382.1285912505867,67
145.64,385.64121424082987,67
145.65,388.4109021848447,67
145.66,388.9062032459307,67
145.67,388.9237871294676,67
145.68,389.4403298755755,67
145.69,389.8763465012421,67
145.7,389.9699293859122,67
145.71,389.98496285574214,67
145.72,390.0469806718763,67
145.73,390.1196431344681,67
145.74,390.13341338192805,67
145.75,389.07085693390127,67
145.76,387.9737641102718,67
145.77,387.2073228249385,67
145.78,385.8874781213154,67
145.79,383.3532630747686,67
145.8,380.1610281386565,66
145.81,382.551033165993,67
145.82,387.2083580187184,67
145.83,387.3017545521455,67
145.84,387.13559319135084,67
145.85,387.5581906617526,67
145.86,388.4503137439299,67
145.87,389.29076922765614,67
145.88,388.99614094806435,67
145.89,388.9616559179542,67
145.9,389.35207728459005,67
145.91,388.0321096624283,67
145.92,386.9168539441847,67
145.93,387.1519307837251,67
145.94,388.2768670885233,67
145.95,387.98069880059205,67
145.96,387.0394788356655,67
145.97,386.7282112946929,67
145.98,386.51132203345514,67
145.99,386.28946320346574,67
146.0,385.9692142695412,67
146.01,384.77542115398427,67
146.02,382.83120502342075,67
146.03,380.6878527131528,66
146.04,378.3037934669506,66
146.05,376.9472974366789,66
146.06,374.56430797426583,66
146.07,370.69868810011565,66
146.08,369.49852232418317,66
146.09,370.24114796509673,66
146.1,370.6528950636976,66
146.11,371.70515398840973,66
146.12,372.2782836421346,66
146.13,371.4978802991063,66
146.14,370.93376068325557,66
146.15,369.9372111343699,66
146.16,371.1951819662536,66
146.17,374.16147126414904,66
146.18,375.75250937666954,66
146.19,375.77996918781037,66
146.2,376.48774164916443,66
146.21,376.08648256675343,66
146.22,369.462499390534,66
146.23,355.1553397904169,65
146.24,338.94584989226524,64
146.25,334.78369405506817,64
146.26,332.4534576440051,64
146.27,329.01247943190367,64
146.28,328.5010879274268,64
146.29,331.86227992784796,64
146.3,330.23050073957046,64
146.31,327.9448744231178,64
146.32,326.7529941062728,64
146.33,325.13178132923963,64
146.34,322.3580609902972,64
146.35,316.0178223984518,63
146.36,306.84817566343014,63
146.37,300.9119944495768,62
146.38,295.05620062263137,62
146.39,289.3599768149606,62
146.4,286.83301198029983,62
146.41,286.70599250801996,62
146.42,370.83186053269463,66
146.43,373.15473649311804,66
146.44,371.6170977151741,66
146.45,290.7030183788011,62
146.46,291.05221397185517,62
146.47,292.21526998284986,62
146.48,293.12597845351496,62
146.49,293.3714814783803,62
146.5,293.16505761377715,62
146.51,290.3363900806298,62
146.52,374.3421517292867,66
146.53,374.46096911684987,66
146.54,374.2212672298233,66
146.55,374.0262296011894,66
146.56,374.69094232039623,66
146.57,376.4605479922842,66
146.58,377.2430460692996,66
146.59,390.88380565661197,67
146.6,390.9720587500411,67
146.61,390.9128238742939,67
146.62,389.914360083698,67
146.63,379.4162258618918,66
146.64,378.5290315639082,66
146.65,377.0801988677005,66
146.66,372.1970212534433,66
146.67,371.06766285326995,66
146.68,284.7936084087624,61
146.69,291.05772527076596,62
146.7,290.7971614937175,62
146.71,289.8033296856911,62
146.72,290.3246403937659,62
146.73,291.40671767918536,62
146.74,291.5423483230075,62
146.75,290.5987162909087,62
146.76,290.7214249593366,62
146.77,291.9167665685317,62
146.78,292.5474068431453,62
146.79,293.20534808633073,62
146.8,293.77810572543916,62
146.81,294.00053212095696,62
146.82,294.9293109486909,62
146.83,295.3652715831434,62
146.84,294.19207026907037,62
146.85,292.99954734560197,62
146.86,291.73394348929065,62
146.87,291.5725196665194,62
146.88,292.14986807187853,62
146.89,292.9053288470931,62
146.9,292.57243450481576,62
146.91,292.5592849147324,62
146.92,293.53289728977944,62
146.93,294.21571218495586,62
146.94,294.70464776040785,62
146.95,296.21763584568674,62
146.96,296.73012431963,62
146.97,295.1393071764203,62
146.98,0.0,0
146.99,0.0,0
147.0,0.0,0
147.01,0.0,0
147.02,0.0,0
147.03,0.0,0
147.04,0.0,0
147.05,0.0,0
147.06,0.0,0
147.07,0.0,0
147.08,0.0,0
